54030,0,3
1,4,3
8,36,3
74,8,3
15,68,3
13,100,3
54031,0,3
64810,0,5
39322,4,5
46374,36,5
35456,8,5
1114,40,5
56461,72,5
48116,104,5
64811,0,5
54798,0,8
30,8,8
150,4,8
0,40,8
19,36,8
170,68,8
54799,0,8
60434,0,4
390,8,4
61,40,4
3610,72,4
3323,104,4
11743,4,4
60435,0,4
58126,0,5
3597,8,5
3,4,5
9,36,5
1,68,5
13,100,5
58127,0,5
60722,0,4
2128,8,4
10564,4,4
351,40,4
4075,72,4
23745,36,4
860,104,4
60723,0,4
60962,0,4
3749,8,4
31,40,4
1425,72,4
3483,104,4
12072,4,4
1578,36,4
37349,68,4
60963,0,4
62722,0,5
17375,8,5
219,4,5
241,36,5
37300,40,5
62723,0,5
54314,0,2
172,8,2
75,40,2
48,4,2
54315,0,2
60198,0,4
2400,4,4
3637,36,4
1076,68,4
3068,100,4
2339,8,4
1428,40,4
920,72,4
60199,0,4
